# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
es,a flor de piel,,,a flor de piel,cultural_reference,Wiktionary,Wiktionary contributors,,,,Just under the surface,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_flor_de_piel,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a fortiori,,,a fortiori,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_fortiori,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a full,,,a full,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_full,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a gatas,,,a gatas,cultural_reference,Wiktionary,Wiktionary contributors,,,,crawling,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_gatas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a gloria,,,a gloria,cultural_reference,Wiktionary,Wiktionary contributors,,,,nice; delicious,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_gloria,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a grandes rasgos,,,a grandes rasgos,cultural_reference,Wiktionary,Wiktionary contributors,,,,"broadly, in broad terms; basically, broadly speaking",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_grandes_rasgos,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a grito herido,,,a grito herido,cultural_reference,Wiktionary,Wiktionary contributors,,,,at the top of one's voice,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_grito_herido,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a grito limpio,,,a grito limpio,cultural_reference,Wiktionary,Wiktionary contributors,,,,at the top of one's voice,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_grito_limpio,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a grito pelado,,,a grito pelado,cultural_reference,Wiktionary,Wiktionary contributors,,,,at the top of one's voice,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_grito_pelado,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a hombros,,,a hombros,cultural_reference,Wiktionary,Wiktionary contributors,,,,"on someone's shoulders, .",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_hombros,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a horcajadas,,,a horcajadas,cultural_reference,Wiktionary,Wiktionary contributors,,,,"astride, straddling",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_horcajadas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a huevo,,,a huevo,cultural_reference,Wiktionary,Wiktionary contributors,,,,forcedly having no choice and with great effort,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_huevo,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a humo de pajas,,,a humo de pajas,cultural_reference,Wiktionary,Wiktionary contributors,,,,unthinkingly,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_humo_de_pajas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a la antigua,,,a la antigua,cultural_reference,Wiktionary,Wiktionary contributors,,,,in an traditional way; old school,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_la_antigua,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
