# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
ar,رجع بخفي حنين,,,رجع بخفي حنين,cultural_reference,Wiktionary,Wiktionary contributors,,,,to come back empty-handed,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%B1%D8%AC%D8%B9_%D8%A8%D8%AE%D9%81%D9%8A_%D8%AD%D9%86%D9%8A%D9%86,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,رش السكر على الموت,,,رش السكر على الموت,cultural_reference,Wiktionary,Wiktionary contributors,,,,to gild the pill,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%B1%D8%B4_%D8%A7%D9%84%D8%B3%D9%83%D8%B1_%D8%B9%D9%84%D9%89_%D8%A7%D9%84%D9%85%D9%88%D8%AA,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,رش الملح على الجرح,,,رش الملح على الجرح,cultural_reference,Wiktionary,Wiktionary contributors,,,,to rub salt in the wound,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%B1%D8%B4_%D8%A7%D9%84%D9%85%D9%84%D8%AD_%D8%B9%D9%84%D9%89_%D8%A7%D9%84%D8%AC%D8%B1%D8%AD,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,زاد الطين بلة,,,زاد الطين بلة,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to make matters worse, to add insult to injury",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%B2%D8%A7%D8%AF_%D8%A7%D9%84%D8%B7%D9%8A%D9%86_%D8%A8%D9%84%D8%A9,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,شاذ الآفاق,,,شاذ الآفاق,cultural_reference,Wiktionary,Wiktionary contributors,,,,outcast,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%B4%D8%A7%D8%B0_%D8%A7%D9%84%D8%A2%D9%81%D8%A7%D9%82,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,شد العضد,,,شد العضد,cultural_reference,Wiktionary,Wiktionary contributors,,,,to provide support,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%B4%D8%AF_%D8%A7%D9%84%D8%B9%D8%B6%D8%AF,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,شمر عن ساعد الجد,,,شمر عن ساعد الجد,cultural_reference,Wiktionary,Wiktionary contributors,,,,to roll up one's sleeves,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%B4%D9%85%D8%B1_%D8%B9%D9%86_%D8%B3%D8%A7%D8%B9%D8%AF_%D8%A7%D9%84%D8%AC%D8%AF,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,صال وجال,,,صال وجال,cultural_reference,Wiktionary,Wiktionary contributors,,,,to have free rein,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%B5%D8%A7%D9%84_%D9%88%D8%AC%D8%A7%D9%84,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,صنع من الحبة قبة,,,صنع من الحبة قبة,cultural_reference,Wiktionary,Wiktionary contributors,,,,to make a mountain out of a molehill,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%B5%D9%86%D8%B9_%D9%85%D9%86_%D8%A7%D9%84%D8%AD%D8%A8%D8%A9_%D9%82%D8%A8%D8%A9,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,ضبط متلبسا بالجرم المشهود,,,ضبط متلبسا بالجرم المشهود,cultural_reference,Wiktionary,Wiktionary contributors,,,,to get caught red-handed,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%B6%D8%A8%D8%B7_%D9%85%D8%AA%D9%84%D8%A8%D8%B3%D8%A7_%D8%A8%D8%A7%D9%84%D8%AC%D8%B1%D9%85_%D8%A7%D9%84%D9%85%D8%B4%D9%87%D9%88%D8%AF,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
